Date,Sector,Industry,CapGain
2023-01-04,Consumer Cyclical,Auto & Truck Dealerships,21950153.96000003
2023-01-04,Consumer Cyclical,Auto Manufacturers,945257371.0200002
2023-01-04,Consumer Cyclical,Auto Parts,3412484.600000008
2023-01-04,Consumer Cyclical,Department Stores,24048999.00000001
2023-01-04,Consumer Cyclical,Footwear & Accessories,14021429.200000005
2023-01-04,Consumer Cyclical,"Furnishings, Fixtures & Appliances",8110688.95999999
2023-01-04,Consumer Cyclical,Gambling,6445853.000000009
2023-01-04,Consumer Cyclical,Home Improvement Retail,-2406819.999999962
2023-01-04,Consumer Cyclical,Internet Retail,315165062.7000005
2023-01-04,Consumer Cyclical,Leisure,13059604.87999999
2023-01-04,Consumer Cyclical,Lodging,7902597.00000002
2023-01-04,Consumer Cyclical,Luxury Goods,5073650.0
2023-01-04,Consumer Cyclical,Packaging & Containers,19230013.319999997
2023-01-04,Consumer Cyclical,Personal Services,3773904.999999992
2023-01-04,Consumer Cyclical,Recreational Vehicles,2142733.900000004
2023-01-04,Consumer Cyclical,Residential Construction,6363349.000000006
2023-01-04,Consumer Cyclical,Resorts & Casinos,67828562.00000006
2023-01-04,Consumer Cyclical,Restaurants,30438697.999999955
2023-01-04,Consumer Cyclical,Specialty Retail,48768835.599999934
2023-01-04,Consumer Cyclical,Textile Manufacturing,17315.999999999884
2023-01-04,Consumer Cyclical,Travel Services,105059671.00000007
2023-01-04,Consumer Defensive,Beverages - Brewers,5569466.999999993
2023-01-04,Consumer Defensive,Beverages - Non-Alcoholic,-2478385.569999976
2023-01-04,Consumer Defensive,Beverages - Wineries & Distilleries,6763040.199999989
2023-01-04,Consumer Defensive,Confectioners,-2610374.659999964
2023-01-04,Consumer Defensive,Discount Stores,16143077.00000004
2023-01-04,Consumer Defensive,Education & Training Services,2825327.999999988
2023-01-04,Consumer Defensive,Farm Products,-11833169.61999998
2023-01-04,Consumer Defensive,Food Distribution,1262926.000000005
2023-01-04,Consumer Defensive,Grocery Stores,3953735.9999999935
2023-01-04,Consumer Defensive,Household & Personal Products,19148470.59999989
2023-01-04,Consumer Defensive,Packaged Foods,11366345.110000048
2023-01-04,Consumer Defensive,Tobacco,2561635.1699999506
2023-01-04,Energy,Oil & Gas Drilling,5238854.999999988
2023-01-04,Energy,Oil & Gas E&P,140420299.00000006
2023-01-04,Energy,Oil & Gas Equipment & Services,22378520.00000003
2023-01-04,Energy,Oil & Gas Integrated,53535190.55999992
2023-01-04,Energy,Oil & Gas Midstream,26472819.80000001
2023-01-04,Energy,Oil & Gas Refining & Marketing,21861606.000000067
2023-01-04,Energy,Thermal Coal,13648227.000000017
2023-01-04,Energy,Uranium,-2769030.999999997
2023-01-04,Financial Services,Asset Management,29141830.00000004
2023-01-04,Financial Services,Banks - Diversified,41074900.99999997
2023-01-04,Financial Services,Banks - Regional,34976055.72000003
2023-01-04,Financial Services,Capital Markets,79740272.94000001
2023-01-04,Financial Services,Credit Services,77341449.5999999
2023-01-04,Financial Services,Financial Conglomerates,2541380.9999999967
2023-01-04,Financial Services,Financial Data & Stock Exchanges,57355415.00000007
2023-01-04,Financial Services,Insurance - Diversified,16173743.000000058
2023-01-04,Financial Services,Insurance - Life,3819898.999999988
2023-01-04,Financial Services,Insurance - Property & Casualty,11992791.800000029
2023-01-04,Financial Services,Insurance - Reinsurance,407891.9999999951
2023-01-04,Financial Services,Insurance - Specialty,1762378.999999995
2023-01-04,Financial Services,Insurance Brokers,4652516.600000006
2023-01-04,Financial Services,Mortgage Finance,1101461.8000000012
2023-01-04,Financial Services,Shell Companies,1551611.8500000024
2023-01-04,Healthcare,Biotechnology,25674138.420000017
2023-01-04,Healthcare,Diagnostics & Research,13083302.579999955
2023-01-04,Healthcare,Drug Manufacturers - General,-1281147.9999996896
2023-01-04,Healthcare,Drug Manufacturers - Specialty & Generic,31630564.19999999
2023-01-04,Healthcare,Health Information Services,217512827.67
2023-01-04,Healthcare,Healthcare Plans,-152072568.21999988
2023-01-04,Healthcare,Medical Care Facilities,12140370.500000002
2023-01-04,Healthcare,Medical Devices,23789703.989999976
2023-01-04,Healthcare,Medical Distribution,961465.0000000076
2023-01-04,Healthcare,Medical Instruments & Supplies,20524198.149999958
2023-01-04,Healthcare,Pharmaceutical Retailers,-730948.6999999958
2023-01-04,Industrials,Aerospace & Defense,99060879.7399998
2023-01-04,Industrials,Airlines,86054653.99999996
2023-01-04,Industrials,Airports & Air Services,586682.0000000012
2023-01-04,Industrials,Building Products & Equipment,10515388.160000026
2023-01-04,Industrials,Business Equipment & Supplies,53319.99999999905
2023-01-04,Industrials,Conglomerates,11291603.69
2023-01-04,Industrials,Consulting Services,2694873.0000000075
2023-01-04,Industrials,Electrical Equipment & Parts,-10065117.119999982
2023-01-04,Industrials,Engineering & Construction,-860936.999999983
2023-01-04,Industrials,Farm & Heavy Construction Machinery,1634632.0000000503
